,"Day : 1 - 2","Day : 2 - 3","Day : 3 - 4"
COGS,"50,485","560,998","30,032"
"Trading Profit","56,796","231,362","60,676"
"Operating Expense View","77,466","62,388","70,439"
"Other Income (Loss)",0,0,0
"Net Profit","(20,670)","168,974","(9,763)"
,"Day : 43 - 44","Day : 44 - 45","Day : 45 - 46"
Revenue,"85,155","95,463","100,518"
"Retail View","85,155","80,722","81,421"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,"14,741","19,097"
Services,0,0,0
"Research and Development",0,0,0
COGS,"26,227","33,883","47,370"
"Trading Profit","58,928","61,580","53,148"
"Operating Expense View","84,767","134,286","62,310"
"Other Income (Loss)",0,0,0
"Net Profit","(25,839)","(72,706)","(9,162)"
,"Day : 46 - 47","Day : 47 - 48","Day : 48 - 49"
Revenue,"80,821","51,703","137,453"
"Retail View","80,821","51,703","52,656"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,"39,297"
Services,0,0,"45,500"
"Research and Development",0,0,0
COGS,"30,234","21,625","53,268"
"Trading Profit","50,587","30,078","84,185"
"Operating Expense View","185,758","44,787","44,841"
"Other Income (Loss)",0,0,0
"Net Profit","(135,171)","(14,709)","39,344"
,"Day : 49 - 50","Day : 50 - 51","Day : 51 - 52"
Revenue,"84,545","43,094","48,631"
"Retail View","53,782","43,094","48,631"
"Wholesales (B2B)",0,0,0
"Sales E Commerce","30,763",0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,"44,155","15,993","25,174"
"Trading Profit","40,390","27,101","23,457"
"Operating Expense View","44,875","45,055","62,594"
"Other Income (Loss)",0,0,0
"Net Profit","(4,485)","(17,954)","(39,137)"
,"Day : 52 - 53","Day : 53 - 54","Day : 54 - 55"
Revenue,"49,057","70,856","393,973"
"Retail View","49,057","47,632","86,057"
"Wholesales (B2B)",0,0,"293,930"
"Sales E Commerce",0,"23,224","13,986"
Services,0,0,0
"Research and Development",0,0,0
COGS,"31,590","22,113","185,572"
"Trading Profit","17,467","48,743","208,401"
"Operating Expense View","60,475","45,394","79,718"
"Other Income (Loss)",0,0,0
"Net Profit","(43,008)","3,349","128,683"
,"Day : 55 - 56","Day : 56 - 57","Day : 57 - 58"
Revenue,"672,273","88,173","319,157"
"Retail View","112,456","88,173","116,657"
"Wholesales (B2B)","550,880",0,"202,500"
"Sales E Commerce","8,937",0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,"365,865","20,014","155,575"
"Trading Profit","306,408","68,159","163,582"
"Operating Expense View","64,598","64,478","64,554"
"Other Income (Loss)",0,0,0
"Net Profit","241,810","3,681","99,028"
,"Day : 58 - 59","Day : 59 - 60","Day : 60 - 61"
Revenue,"46,558","112,384","60,647"
"Retail View","46,558","43,666","45,116"
"Wholesales (B2B)",0,"68,718",0
"Sales E Commerce",0,0,"15,531"
Services,0,0,0
"Research and Development",0,0,0
COGS,"12,398","64,725","42,332"
"Trading Profit","34,160","47,659","18,315"
"Operating Expense View","94,496","66,516","79,851"
"Other Income (Loss)",0,0,0
"Net Profit","(60,336)","(18,857)","(61,536)"
